"cod-banco","dígito","nome",""
"001","9","BB",""
"341","7",Itaú
"237","2","Bradesco",""
"399","9","HSBC",""
"033","4","Santander",""
"745","5","Citibank",""
"041","8","BANRISUL",""
"104","0","CAIXA",""
"748","0","SICREDI",""
"021","3","BANESTES",""
"356","5",""
"389","1","Mercantil do Brasil",""
"070","1","BRB - BRASILIA",""
"409","0",""
"756","0","SICOOB",""
"422","7","SAFRA",""
"004","3","BANCO DO NORDESTE",""
"027","2",""
"151","1",""
"003","5",""
"037","0","BANPARA",""
"047","7","BANESE",""
"376","0",""
"087","6",""
"637","0",""
"077","9","INTER",""
"85","0","VIACREDI",""
"755","2","BANK OF AMERICA",""
"260","9","NUBANK",""
"290","9","PAGSEGURO",""
"218","0",BS2
"376","0","JP MORGAN",""
"212","0","BANCO ORIGINAL",""
"403","9","CORA",""
"336","0",C6 BANK
"136","0","UNICRED",""
"84","0","UNIPRIME",""
"623","9","BANCO PAN",""
"707","9","Daycoval",""
"197","9","STONE",""
"237","2",NEXT (FINTECH DO BRADESCO)
"213","3","BANCO ARBI",""
